ExpType,ExpDay,CellID,CellName,CompNum,TpsComp,MaxIndent,MinThickness,Hysteresis,CompTime,InitialThickness,SurroundingThickness,PreviousThickness,H0Chadwick,EChadwick,CiEChadwick,R2Chadwick,FitParams,Validated,Comments
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C5,20-08-04_M1_P1_C5,1,1s,36.7542372379019,10.1787997663161,0.545424059491568,20.8165135135135,46.933037004218,50.9598233286279,50.9598233286279,69.8324824576687,7473.70318315811,4619.84385674117,0.806005576703654,Strain100-R20.9,0,Bad R2 on fit 
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C5,20-08-04_M1_P1_C5,2,1s,25.9820785629246,15.1651230642509,-23.9251007077271,35.2284864864865,41.1472016271755,29.2246142864196,29.2246142864196,65.5072011238457,10751.969672063,7499.26037997139,0.739745235696087,Strain100-R20.9,0,Bad R2 on fit 
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C5,20-08-04_M1_P1_C5,3,1s,24.6096525484385,51.9510574541906,-0.052278649016498,49.633,76.5607100026291,38.6130861417532,38.6130861417532,100.639245599901,16652.965488048,7176.83934869651,0.922248955602765,Strain100-R20.9,1,Succes!
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C5,20-08-04_M1_P1_C5,4,1s,29.3402595158299,19.679992161568,0.786330987706142,64.0539189189189,49.0202516773979,53.2685194421902,53.2685194421902,67.310001460797,13047.4649207352,4224.64835937089,0.934252535786537,Strain100-R20.9,1,Succes!
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C5,20-08-04_M1_P1_C5,5,1s,72.4909110799115,70.3917438193651,0.501814694390872,78.4529736842105,142.882654899277,44.2711430893632,44.2711430893632,169.713330796291,7321.38484509958,1322.65651761295,0.981516235577825,Strain100-R20.9,1,Succes!
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C5,20-08-04_M1_P1_C5,6,1s,70.9740415485064,53.2550438657502,0.368093075166621,92.871,124.229085414257,68.3948045661318,68.3948045661318,173.331245445404,4835.75434840411,1407.55279490034,0.951041438149516,Strain100-R20.9,1,Succes!
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C5,20-08-04_M1_P1_C5,7,1s,11.3379192868144,52.924711073091,-1.00881377105942,5.59194736842105,64.2626303599054,50.2330117043803,NaN,107.096552653691,12504.5797535698,15469.7291034026,0.519808232122208,Strain100-R20.9,0,Bad R2 on fit 
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C6,20-08-04_M1_P1_C6,1,1s,22.7218100432838,99.3530591753897,0.528054483813243,20.3919736842105,122.074869218673,119.233230821872,119.233230821872,145.874447312244,30533.6808006556,8024.92606701291,0.965118332941923,Strain100-R20.9,1,Succes!
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C6,20-08-04_M1_P1_C6,2,1s,35.9079369282244,97.0224734036229,0.32737960510049,34.6135526315789,132.930410331847,109.006385977515,109.006385977515,161.288769975611,19354.128691501,3108.98321662996,0.984175982873899,Strain100-R20.9,1,Succes!
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C6,20-08-04_M1_P1_C6,3,1s,37.013536537266,93.8394293410294,0.395334916832563,48.9865675675676,130.852965878295,120.750851147667,120.750851147667,150.54655991744,26646.8155912921,6293.44128267906,0.968286150134521,Strain100-R20.9,1,Succes!
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C6,20-08-04_M1_P1_C6,4,1s,27.1288777974862,107.772489631171,0.403053075677994,63.3610263157895,134.901367428657,127.152065977588,127.152065977588,158.17582189497,28712.8328505866,6864.80020703118,0.967827945494739,Strain100-R20.9,1,Succes!
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C6,20-08-04_M1_P1_C6,5,1s,34.8642693945412,114.15420694152,0.319247845299803,77.7575135135135,149.018476336061,130.460349667802,130.460349667802,174.189817322118,23069.260678075,3390.66411709572,0.988112074428023,Strain100-R20.9,1,Succes!
3T3aSFL_BSA_nodrugs,20-08-04,M1_P1_C6,20-08-04_M1_P1_C6,6,1s,19.3269407360825,138.589443906552,0.397136784183783,92.1588918918919,157.916384642635,145.475266487246,145.475266487246,173.871457695566,65380.1621973304,25445.0324546187,0.925291441962812,Strain100-R20.9,1,Succes!
